,|V|,|E|,Preordering ILP,Preordering ILP Gap,Preordering ILP T,Clustering ILP,Clustering ILP Gap,Clustering ILP T,Partial Ordering ILP,Partial Ordering ILP Gap,Partial Ordering ILP T,Successive ILPs,Successive ILPs Gap,Successive ILPs T,LP,LP T,LP+OCW,LP+OCW T,GDC,GDC T,GAI,GAI T,GDC+GAI,GDC+GAI T
115455024457484679647,3490,137466,,,,,,,,,,,,,,,,,75654,0.246824026107788,41424,59.61102342605591,76381,8.765205144882202
111058843129764709244,3508,290468,,,,,,,,,,,,,,,,,178612,0.2633407115936279,80637,192.30136680603027,178947,3.67536187171936
105565257978663183206,3545,294151,,,,,,,,,,,,,,,,,176323,0.2689735889434814,99189,133.47651290893555,176793,6.74883770942688
112573107772208475213,3799,69545,,,,,,,,,,,,,,,,,42734,0.2969708442687988,25386,94.6439049243927,44119,15.830883741378784
101373961279443806744,3814,1133507,,,,,,,,,,,,,,,,,618157,0.4342584609985351,380567,364.5211315155029,618982,8.86149525642395
106724181552911298818,3870,521294,,,,,,,,,,,,,,,,,322873,0.335888147354126,154010,294.3802638053894,323416,8.428006649017334
113718775944980638561,3939,1146177,,,,,,,,,,,,,,,,,694915,0.3466646671295166,371395,440.4828243255615,695265,7.36332893371582
111048918866742956374,4160,527604,,,,,,,,,,,,,,,,,355575,0.3944172859191894,198169,469.6232450008392,356276,15.513717651367188
114147483140782280818,4229,475143,,,,,,,,,,,,,,,,,308652,0.4189333915710449,141238,386.8842656612396,309441,15.83347988128662
106186407539128840569,4289,284304,,,,,,,,,,,,,,,,,165736,0.4033510684967041,101146,225.19844579696647,167742,36.28356170654297
107489144252174167638,4362,1454369,,,,,,,,,,,,,,,,,829734,0.4478471279144287,548009,616.7615661621094,830757,21.10684323310852
107040353898400532534,4369,739046,,,,,,,,,,,,,,,,,499013,0.5668065547943115,0,inf,499202,5.260568857192993
105646458226420473639,4450,1614977,,,,,,,,,,,,,,,,,995143,0.4671621322631836,0,inf,995997,21.51600742340088
104905626100400792399,4482,305075,,,,,,,,,,,,,,,,,182421,0.4659855365753174,0,inf,184050,40.18240261077881
115573545440464933254,4503,299096,,,,,,,,,,,,,,,,,176316,0.4670279026031494,0,inf,177267,25.30037260055542
115273860520983542999,4520,292679,,,,,,,,,,,,,,,,,185737,0.5923900604248047,0,inf,186599,21.74267864227295
100668989009254813743,4586,352373,,,,,,,,,,,,,,,,,213207,0.4965403079986572,0,inf,215166,38.42758893966675
116825083494890429556,4604,479750,,,,,,,,,,,,,,,,,301362,0.4946739673614502,0,inf,302583,18.749998569488525
101626577406833098387,4712,432940,,,,,,,,,,,,,,,,,260219,0.5343422889709473,0,inf,260560,11.621133804321287
109596373340495798827,4720,560624,,,,,,,,,,,,,,,,,350584,0.553361177444458,0,inf,351437,22.776110649108887
112463391491520264813,4720,624800,,,,,,,,,,,,,,,,,392595,0.5430235862731934,0,inf,393634,27.440831184387207
114122960748905067938,4734,662766,,,,,,,,,,,,,,,,,465890,0.7181951999664307,0,inf,466126,7.679057836532593
114124942936679476879,4782,1212982,,,,,,,,,,,,,,,,,687750,0.5346102714538574,0,inf,689382,35.59639024734497
117734260411963901771,4805,415499,,,,,,,,,,,,,,,,,229669,0.6325790882110596,0,inf,230968,38.56394171714783
116931379084245069738,4831,510112,,,,,,,,,,,,,,,,,319691,0.6916995048522949,0,inf,320051,10.50940990447998
106228758905254036967,4842,322165,,,,,,,,,,,,,,,,,177988,0.5637569427490234,0,inf,180943,60.27648210525513
116807883656585676940,4872,416992,,,,,,,,,,,,,,,,,262319,0.5534646511077881,0,inf,263681,38.05796122550965
109130886479781915270,4880,627763,,,,,,,,,,,,,,,,,404403,0.7856893539428711,0,inf,405268,31.21857714653015
103752943025677384806,4895,1596903,,,,,,,,,,,,,,,,,965328,0.5969600677490234,0,inf,966349,29.943812370300293
106382433884876652170,4903,771351,,,,,,,,,,,,,,,,,532907,0.6291577816009521,0,inf,533235,13.858458518981934
112787435697866537461,4926,1270141,,,,,,,,,,,,,,,,,775684,0.7466952800750732,0,inf,776324,21.749659776687626
111091089527727420853,4938,596494,,,,,,,,,,,,,,,,,376737,0.5799829959869385,0,inf,377056,14.305201530456545
